Pokemon_Box_ID,Pokemon_ID,User_ID,,,
196,9,743196,,, 
196,157,743196,,,
196,142,743196,,,
196,842,743196,,,
196,899,743196,,,
196,226,743196,,,
196,89,743196,,,
196,112,743196,,,
196,162,743196,,,
196,706,743196,,,
349,181,617349,,,
349,104,617349,,,
349,103,617349,,,
349,113,617349,,,
349,169,617349,,,
349,6,617349,,,
349,73,617349,,,
349,210,617349,,,
349,879,617349,,,
349,248,617349,,,
463,861,229463,,,
463,230,229463,,,
463,34,229463,,,
463,870,229463,,,
463,2,229463,,,
463,65,229463,,,
463,229,229463,,,
463,195,229463,,,
463,145,229463,,,
463,904,229463,,,
762,900,458762,,,
762,208,458762,,,
762,68,458762,,,
762,78,458762,,,
762,127,458762,,,
762,244,458762,,,
762,825,458762,,,
762,851,458762,,,
762,213,458762,,,
762,873,458762,,,
876,199,542876,,,
876,503,542876,,,
876,199,542876,,,
876,45,542876,,,
876,110,542876,,,
876,82,542876,,,
876,549,542876,,,
876,887,542876,,,
876,91,542876,,,
876,232,542876,,,
349,168,182349,,,
349,571,182349,,,
349,217,182349,,,
349,849,182349,,,
349,171,182349,,,
349,80,182349,,,
349,114,182349,,,
349,136,182349,,,
349,146,182349,,,
349,101,182349,,,
891,867,357891,,,
891,55,357891,,,
891,196,357891,,,
891,845,357891,,,
891,233,357891,,,
891,836,357891,,,
891,877,357891,,,
891,108,357891,,,
891,237,357891,,,
891,905,357891,,,
537,884,318537,,,
537,130,318537,,,
537,862,318537,,,
537,869,318537,,,
537,31,318537,,,
537,71,318537,,,
537,864,318537,,,
537,149,318537,,,
537,121,318537,,,
537,176,318537,,,
